5 31
###############################
#   *                         #
# ########################### #
#                             #
###############################
15 10
##########
#        #
# #### # #
# #    # #
# # ## # #
# # ## # #
# # ## # #
# # #### #
# #      #
# #*## ###
# # #    #
# #    # #
# ## ### #
#        #
##########
15 31
###############################
#                             #
# ########################### #
#                           # #
########################### # #
#                         # # #
# # ################### ### # #
# # #                   * # # #
# # # ################### # # #
# # #                     # # #
# # ####################### # #
# #                         # #
# ########################### #
#                             #
###############################
